NAME,B08006_001E,B08006_017E,B28002_001E,B28002_004E,B19013_001E,B23025_003E,B23025_005E,B01003_001E,C24030_001E,C24030_013E,C24030_040E,C24030_015E,C24030_042E,C24030_018E,C24030_045E,C24030_019E,C24030_046E,state,county,year
"Newton County, Arkansas",2549.0,348.0,2769,1913,42817.0,2795.0,128.0,7343,2667.0,4.0,3.0,39.0,36.0,17.0,30.0,0.0,0.0,5,101,2021
"Ouachita County, Arkansas",8412.0,125.0,8686,6786,43338.0,9036.0,567.0,22858,8469.0,25.0,20.0,35.0,85.0,144.0,178.0,0.0,13.0,5,103,2021
"Perry County, Arkansas",3667.0,245.0,3732,2780,47500.0,3951.0,169.0,10056,3782.0,34.0,15.0,34.0,76.0,64.0,99.0,0.0,0.0,5,105,2021
"Phillips County, Arkansas",5385.0,135.0,6315,4467,32235.0,6522.0,997.0,16923,5525.0,20.0,3.0,86.0,139.0,11.0,54.0,0.0,4.0,5,107,2021
"Pike County, Arkansas",4324.0,150.0,4042,3011,46672.0,4525.0,166.0,10234,4359.0,21.0,51.0,12.0,85.0,79.0,28.0,0.0,0.0,5,109,2021
"Poinsett County, Arkansas",9232.0,425.0,8992,6959,42854.0,9859.0,417.0,23212,9442.0,93.0,32.0,18.0,183.0,46.0,89.0,0.0,0.0,5,111,2021
"Polk County, Arkansas",7269.0,274.0,7736,5971,43444.0,8328.0,862.0,19476,7466.0,61.0,3.0,15.0,105.0,75.0,15.0,0.0,0.0,5,113,2021
"Pope County, Arkansas",26462.0,1075.0,23304,18889,47322.0,28589.0,1686.0,63234,26903.0,143.0,96.0,374.0,369.0,412.0,332.0,0.0,0.0,5,115,2021
"Prairie County, Arkansas",3538.0,253.0,3385,2275,47335.0,3800.0,227.0,8306,3573.0,21.0,21.0,63.0,88.0,39.0,127.0,0.0,3.0,5,117,2021
"Pulaski County, Arkansas",187243.0,13664.0,164697,137710,55235.0,197850.0,10427.0,397931,187423.0,1970.0,2066.0,4355.0,6529.0,6042.0,5573.0,121.0,62.0,5,119,2021
"Randolph County, Arkansas",6837.0,327.0,7234,5080,42225.0,7508.0,547.0,18442,6961.0,9.0,1.0,110.0,66.0,127.0,33.0,0.0,0.0,5,121,2021
"St. Francis County, Arkansas",7912.0,246.0,8146,5581,34981.0,8588.0,568.0,23623,8020.0,71.0,4.0,21.0,138.0,8.0,95.0,0.0,18.0,5,123,2021
"Saline County, Arkansas",58538.0,3332.0,47468,41260,68605.0,61512.0,2362.0,122308,59150.0,775.0,357.0,1131.0,2476.0,1517.0,1266.0,0.0,29.0,5,125,2021
"Scott County, Arkansas",4127.0,138.0,3938,2673,43577.0,4453.0,261.0,9928,4192.0,0.0,29.0,8.0,201.0,168.0,34.0,0.0,30.0,5,127,2021
"Searcy County, Arkansas",2821.0,142.0,2964,1929,39627.0,3035.0,130.0,7872,2905.0,5.0,0.0,0.0,82.0,0.0,41.0,0.0,0.0,5,129,2021
"Sebastian County, Arkansas",57016.0,2785.0,51587,41565,50226.0,61050.0,3029.0,127941,58021.0,313.0,239.0,617.0,1034.0,1391.0,1469.0,153.0,29.0,5,131,2021
